Discard Correlation,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,count
1,118728,133372,90687,100895,66949,77228,99284,132808,170791,337958,259371,185189,151236,130170,149503,183489,257154,336865,774652
2,91997,57079,52875,53737,54862,49317,58480,73795,82897,160634,139743,110710,93225,81406,91510,109588,136943,160533,472056
3,46318,40543,32791,27889,29247,36017,34116,39992,44383,85123,73581,64463,55563,48973,55155,63544,73542,84996,290939
4,33952,39049,31583,27372,23770,29023,34458,31979,37049,69883,61922,54472,48743,44253,48706,54466,61108,69363,246410
5,30565,31027,29088,22482,20477,22269,29164,30909,30419,59395,53493,46690,42721,38938,42362,46983,53397,59726,213176
6,36586,32157,34825,29688,24073,27208,31151,38286,33753,69242,61466,53808,48432,43972,48957,54798,61434,69639,245446
7,43912,39711,34444,35835,29279,27833,32867,39633,45861,84203,72488,63103,54350,48866,54686,63945,73299,84724,289729
8,81686,74375,58523,48894,54970,53264,52127,57100,88996,158517,136026,108549,90727,80378,92377,109740,137617,160175,467906
9,172137,134371,100113,77386,67216,101824,90820,133643,118629,335721,256881,182910,149333,128867,150295,183965,258999,337806,773161
