First simple,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,Honor,,Hands
2,1046,141,5480,5999,5080,9749,7316,5230,4534,8453,11669,13261,16401,17556,16668,13323,11880,8812,6598,169196,92429.87077
3,708,694,51,2866,2653,1773,3409,2644,1613,3427,4601,5080,6546,7150,6610,5229,5008,3653,2738,66453,36302.52608
4,368,694,874,34,2296,2030,958,2377,1616,2452,3302,3498,4463,4984,4564,3611,3511,2601,2277,46510,25407.8896
5,1461,461,796,1658,23,1700,814,440,1473,1984,2588,2817,3448,3850,3660,2766,2675,1971,1588,36173,19760.90283
6,1494,2340,966,1912,2324,38,858,706,357,2651,3552,3597,4565,5013,4558,3599,3396,2541,2208,46675,25498.02725
7,1530,2639,3289,1753,2720,2817,58,751,645,3518,4835,5173,6576,7059,6447,5140,4646,3451,2679,65726,35905.37416
8,4475,5298,6984,9694,5030,5825,5426,145,1103,8761,11660,13312,16400,17565,16193,13236,11553,8483,6628,167771,91651.40931
Third simple,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,Honor,598504,
2,836,48,2249,2375,1903,3502,2374,1853,1618,3102,4101,4955,6252,6426,6446,4973,4122,3205,2552,62892,34223.36936
3,798,746,36,2227,1925,1450,2285,1634,1253,2853,3351,4218,5480,5380,5432,4248,3474,2796,2251,51837,28207.67025
4,311,868,970,28,1855,1690,790,1651,1197,2378,2895,3476,4522,4516,4518,3562,3012,2381,2125,42745,23260.15905
5,1183,445,962,1454,35,1496,879,477,1177,2113,2647,3141,3999,3993,4111,3197,2675,2161,1817,37962,20657.43731
6,1174,1682,784,1665,1876,36,949,846,322,2381,3008,3420,4436,4530,4517,3448,2954,2408,2104,42540,23148.60606
7,1241,1625,2264,1416,1919,2142,40,769,731,2739,3586,4257,5468,5386,5376,4229,3469,2763,2336,51756,28163.59322
8,1633,1834,2334,3481,1895,2330,2259,42,855,3203,4064,4949,6519,6380,6403,5128,4184,3201,2567,63261,34424.16474
Total riichi,354614,,,,,,,,,,,,,,,,,,,352993,
Total first simple,326956,,,,,,,,,,,,,,,,,,,,
Total third simple,192085,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,Honor,,,,,,,,,,,
,42328,54474,65178,82315,83303,82632,65743,54962,42853,24716,,,,,,,,,,,
,12.9%,16.7%,19.9%,25.2%,25.5%,25.3%,20.1%,16.8%,13.1%,7.6%,,,,,,,,,,,
,4.3%,5.6%,6.6%,8.4%,8.5%,8.4%,6.7%,5.6%,4.4%,1.1%,,,,,,,,,,,
