closed,Reduce Shanten,Increase Ukeire,Same Ukeire,Reduce Ukeire,Increase Shanten,Count
0,262162,182399,113113,22141,2249,582064
1,225198,162053,86076,21790,3778,498895
2,188454,145276,70768,20464,5029,429991
3,154458,123907,61582,19782,5565,365294
4,122909,101638,54313,19705,5751,304316
5,95303,80841,48384,18839,5819,249186
6,71073,61930,41861,17489,5650,198003
7,51606,45793,35479,15438,5482,153798
8,36740,32708,28415,13263,5531,116657
9,25505,23376,21939,10984,5145,86949
10,17321,16314,16476,8921,4822,63854
11,12070,11559,12268,6920,4339,47156
12,8405,7984,8938,5623,3797,34747
13,6144,5739,6316,4349,3329,25877
14,4421,4192,4651,3228,2777,19269
15,3346,3030,3365,2583,2408,14732
16,2508,2320,2468,1980,2158,11434
17,1601,1343,1520,1372,1708,7544
18,503,519,475,464,616,2577
1,Reduce Shanten,Increase Ukeire,Same Ukeire,Reduce Ukeire,Increase Shanten,Count
0,193,66,5,18,7,289
1,6759,1702,49,263,317,9090
2,12408,3659,867,893,479,18306
3,15851,5447,1810,1388,602,25098
4,17027,6359,2675,1635,570,28266
5,16663,6549,3338,1764,555,28869
6,15081,6073,3495,1766,517,26932
7,12996,5338,3492,1717,523,24066
8,10669,4438,3255,1564,562,20488
9,8432,3572,2777,1324,561,16666
10,6612,2784,2415,1135,650,13596
11,4861,2337,1851,1075,615,10739
12,3707,1849,1532,1008,644,8740
13,2841,1599,1194,893,672,7199
14,2298,1308,1032,834,623,6095
15,1727,1147,866,783,619,5142
16,1426,924,750,688,599,4387
17,1067,673,587,629,643,3599
18,387,292,225,273,290,1467
2,Reduce Shanten,Increase Ukeire,Same Ukeire,Reduce Ukeire,Increase Shanten,Count
0,7,0,0,0,0,7
1,136,15,0,3,0,154
2,774,81,16,10,2,883
3,1722,229,95,56,9,2111
4,2789,422,188,104,24,3527
5,3664,587,352,203,24,4830
6,4188,724,473,224,34,5643
7,4171,807,618,248,49,5893
8,3874,777,579,274,53,5557
9,3246,699,623,278,90,4936
10,2598,658,524,269,119,4168
11,2101,612,503,258,112,3586
12,1546,535,443,252,149,2925
13,1177,475,370,254,159,2435
14,909,420,351,238,174,2092
15,771,359,317,224,168,1839
16,659,322,261,211,185,1638
17,471,269,250,225,182,1397
18,251,127,109,138,110,735
3,Reduce Shanten,Increase Ukeire,Same Ukeire,Reduce Ukeire,Increase Shanten,Count
0,0,0,0,0,0,0
1,2,0,0,0,0,2
2,13,0,0,1,0,14
3,65,3,2,1,0,71
4,113,9,3,3,0,128
5,189,12,8,5,0,214
6,266,25,26,15,0,332
7,306,34,25,18,3,386
8,303,37,35,16,1,392
9,338,51,54,18,1,462
10,280,32,48,16,2,378
11,255,43,34,20,5,357
12,190,44,40,20,7,301
13,156,44,47,26,6,279
14,152,63,36,15,8,274
15,118,44,30,41,13,246
16,101,35,43,28,7,214
17,86,39,40,26,11,202
18,66,19,33,21,7,146
closed,Noten,Wait tedashi,Not tedashi
0,582006,1,57
1,498472,36,387
2,428924,146,921
3,363289,312,1693
4,301107,542,2667
5,244640,864,3682
6,192396,1112,4495
7,147505,1321,4972
8,110422,1297,4938
9,81263,1286,4400
10,58838,1141,3875
11,42953,981,3222
12,31398,772,2577
13,23177,652,2048
14,17215,475,1579
15,13126,347,1259
16,10162,305,967
17,6697,222,625
18,2325,64,188
1,Noten,Wait tedashi,Not tedashi
0,287,0,2
1,8963,16,111
2,17772,78,456
3,23795,212,1091
4,25858,460,1948
5,25483,724,2662
6,22714,974,3244
7,19378,1174,3514
8,15759,1227,3502
9,12327,1159,3180
10,9838,1030,2728
11,7658,884,2197
12,6155,713,1872
13,5090,639,1470
14,4289,530,1276
15,3630,489,1023
16,3113,429,845
17,2548,385,666
18,1064,137,266
2,Noten,Wait tedashi,Not tedashi
0,7,0,0
1,141,3,10
2,754,24,105
3,1736,90,285
4,2701,199,627
5,3434,354,1042
6,3782,504,1357
7,3659,676,1558
8,3257,727,1573
9,2759,724,1453
10,2290,614,1264
11,1910,590,1086
12,1603,503,819
13,1372,374,689
14,1219,294,579
15,1043,283,513
16,967,264,407
17,847,188,362
18,448,105,182
3,Noten,Wait tedashi,Not tedashi
0,0,0,0
1,1,1,0
2,11,2,1
3,41,8,22
4,59,21,48
5,79,48,87
6,120,70,142
7,115,97,174
8,124,107,161
9,143,124,195
10,95,112,171
11,99,108,150
12,93,90,118
13,108,70,101
14,101,75,98
15,92,69,85
16,78,55,81
17,85,53,64
18,60,30,56
dsoba ted,1,2,3,4,5,6,7,8,9,12,21,23,32,34,43,45,54,56,65,67,76,78,87,89,98
0,0.06573256638106856,0.06887575326113532,0.06592555404145449,0.06559629129568609,0.06532995430706981,0.06719885336231568,0.0663125363993312,0.06526339497280888,0.06503367917607493,0.12405812701829924,0.08499317871759891,0.11091234347048301,0.05329689101469081,0.06843575418994413,0.06757782839787396,0.05641421947449768,0.05536028119507909,0.056865464632454926,0.06837606837606838,0.06253585771658061,0.06611570247933884,0.05484764542936288,0.10836363636363637,0.09375654724491934,0.12078042737689687
1,0.08676347680735479,0.09853789022524394,0.09804428705011639,0.09972770919727132,0.10010562140593827,0.10077942854913131,0.09861026954125213,0.09387485297119694,0.08591875899568208,0.12267218445167012,0.12658639765701268,0.12849822625147814,0.10036315615714757,0.12450851900393185,0.11460258780036968,0.10749185667752444,0.1202426916712631,0.10922541340295909,0.0960960960960961,0.11143270622286541,0.11824324324324324,0.11677115987460815,0.12667946257197696,0.133114422834049,0.1243487321986801
2,0.09458408914226483,0.11532094905278646,0.12929904641388348,0.12621611103904526,0.12801579805958616,0.12554467405841493,0.12224457858260675,0.1055093772189967,0.09775514927100208,0.14467408585055644,0.15091210613598674,0.18815331010452963,0.16356877323420074,0.21584158415841584,0.16071428571428573,0.15466101694915255,0.18622448979591838,0.18130841121495328,0.1875,0.1648,0.15339233038348082,0.17654639175257733,0.18266978922716628,0.10851063829787234,0.13179916317991633
dsoba tsu,1,2,3,4,5,6,7,8,9,12,21,23,32,34,43,45,54,56,65,67,76,78,87,89,98
0,0.06858772084381157,0.06883089533621681,0.0683225806451613,0.06893816769180965,0.06895099912556271,0.06798688397486634,0.0715287964793673,0.06809121352256418,0.06837552975280828,0.09227871939736347,0.0785639958376691,0.0817717206132879,0.07960199004975124,0.060851926977687626,0.07992565055762081,0.06443914081145585,0.04603580562659847,0.05976095617529881,0.02572347266881029,0.038011695906432746,0.07633587786259542,0.062088428974600186,0.10476190476190476,0.08533834586466166,0.06873614190687362
1,0.08788956151308414,0.09663244179659441,0.09547664653013113,0.09843917747130233,0.101305402198029,0.09814157014157014,0.0991855222209669,0.09149954768608398,0.08798995334020808,0.0852743782076589,0.09090909090909091,0.12290794979079497,0.08655913978494624,0.09491733006736068,0.09612903225806452,0.08686730506155951,0.08388704318936877,0.09432799013563502,0.07841239109390126,0.08575581395348837,0.09754098360655737,0.09076682316118936,0.09114754098360656,0.09685430463576158,0.08973723351512147
2,0.09705593362203865,0.12681242807825086,0.13416669393631991,0.13818362406108387,0.14045964055357255,0.13482092630789425,0.13292057656960432,0.12382698402833882,0.10182345764500281,0.08943089430894309,0.12089356110381078,0.12703101920236337,0.132486388384755,0.11413043478260869,0.16135458167330677,0.15575221238938053,0.1419068736141907,0.13687600644122383,0.13573407202216067,0.12834224598930483,0.14425427872860636,0.13443396226415094,0.13612565445026178,0.11211573236889692,0.0672
