Could pon,E34 1 Han,E34 2 Han,E34 3 Han,E34 4 Han,S12 1 Han,S12 2 Han,S12 3 Han,S12 4 Han,S3 1 Han,S3 2 Han,S3 3 Han,S3 4 Han
0,384,235,81,7,504,324,120,18,154,80,31,4
1,608,419,131,21,674,475,154,29,226,172,53,7
2,577,417,155,27,690,530,181,28,255,197,78,9
3,486,374,148,39,590,503,177,39,220,184,69,14
4,431,325,146,43,487,376,141,41,210,143,67,15
5,312,253,116,27,320,287,151,36,166,117,45,10
6,212,184,101,35,265,235,97,26,137,89,37,5
7,168,134,62,9,191,182,73,24,74,68,34,7
8,141,103,44,14,153,126,66,19,78,51,24,7
9,93,87,40,12,106,104,44,14,49,42,20,7
10,61,66,19,7,58,56,30,7,28,34,11,5
11,49,40,22,11,55,43,30,8,16,23,8,6
12,37,28,19,8,45,48,20,7,29,24,8,5
13,36,28,9,6,23,28,18,8,23,12,6,2
14,10,17,1,3,20,24,12,2,13,5,9,2
15,18,9,6,3,13,13,10,2,15,4,6,3
16,8,6,5,1,9,17,10,7,7,3,5,5
Did pon,E34 1 Han,E34 2 Han,E34 3 Han,E34 4 Han,S12 1 Han,S12 2 Han,S12 3 Han,S12 4 Han,S3 1 Han,S3 2 Han,S3 3 Han,S3 4 Han
0,306,189,71,7,376,268,107,16,124,68,30,4
1,482,314,119,21,506,365,140,29,184,140,43,7
2,441,331,140,26,504,398,160,27,198,154,72,8
3,359,309,126,36,440,394,156,36,171,157,58,14
4,317,252,126,43,349,264,122,36,160,114,54,15
5,235,191,99,25,212,212,134,29,123,85,35,10
6,148,130,82,32,168,161,74,21,100,63,27,5
7,106,98,51,8,126,112,59,21,45,40,29,5
8,93,72,32,12,83,80,51,16,42,29,17,5
9,42,50,27,11,54,53,28,9,29,23,12,5
10,30,30,13,5,25,30,15,5,13,15,2,4
11,25,21,14,7,24,18,14,4,8,8,5,4
12,13,9,8,6,13,18,11,5,15,8,2,4
13,11,16,4,4,4,5,8,2,9,3,2,0
14,0,10,0,1,5,6,3,0,3,1,6,1
15,5,1,2,2,3,3,4,0,3,2,0,0
16,0,1,1,1,5,2,3,3,2,0,0,0
